,metadata.epub,metadata.cover,bibliography.languages,bibliography.subjects,bibliography.title,bibliography.type,metadata.downloads,metadata.id,metadata.url,bibliography.author.name,bibliography.publication.day,bibliography.publication.month,bibliography.publication.year
770,https://www.gutenberg.org/ebooks/18155.epub3.images,https://www.gutenberg.org/cache/epub/18155/pg18155.cover.medium.jpg,en,Fairy tales,The Story of the Three Little Pigs,Text,523,18155,https://www.gutenberg.org/ebooks/18155,"Brooke, L. Leslie (Leonard Leslie)",11,4,2006
771,https://www.gutenberg.org/ebooks/445.epub3.images,https://www.gutenberg.org/cache/epub/445/pg445.cover.medium.jpg,en,Crowds,The Crowd: A Study of the Popular Mind,Text,522,445,https://www.gutenberg.org/ebooks/445,"Le Bon, Gustave",1,1,1895
772,https://www.gutenberg.org/ebooks/51256.epub3.images,https://www.gutenberg.org/cache/epub/51256/pg51256.cover.medium.jpg,en,,The Cool War,Text,522,51256,https://www.gutenberg.org/ebooks/51256,"Fetler, Andrew",21,2,2016
773,https://www.gutenberg.org/ebooks/16452.epub3.images,https://www.gutenberg.org/cache/epub/16452/pg16452.cover.medium.jpg,en,"Epic poetry, Greek -- Translations into English;Achilles (Mythological character) -- Poetry;Trojan War -- Poetry",The Iliad of Homer: Translated into English Blank Verse by William Cowper,Text,521,16452,https://www.gutenberg.org/ebooks/16452,Homer,5,8,2005
774,https://www.gutenberg.org/ebooks/1653.epub3.images,https://www.gutenberg.org/cache/epub/1653/pg1653.cover.medium.jpg,en,Meditations,The Imitation of Christ,Text,520,1653,https://www.gutenberg.org/ebooks/1653,"Thomas, a Kempis",1,1,1422
775,https://www.gutenberg.org/ebooks/18442.epub3.images,https://www.gutenberg.org/cache/epub/18442/pg18442.cover.medium.jpg,en,"Readers,Folklore,History",Fifty Famous Stories Retold,Text,519,18442,https://www.gutenberg.org/ebooks/18442,"Baldwin, James",23,5,2006
776,https://www.gutenberg.org/ebooks/19481.epub3.images,https://www.gutenberg.org/cache/epub/19481/pg19481.cover.medium.jpg,en,"Mysteries and miracle-plays, English;Moralities, English;English drama -- To 1500;Bible plays, English","""Everyman,"" with other interludes, including eight miracle plays",Text,519,19481,https://www.gutenberg.org/ebooks/19481,Unknown,6,10,2006
777,https://www.gutenberg.org/ebooks/51317.epub3.images,https://www.gutenberg.org/cache/epub/51317/pg51317.cover.medium.jpg,en,,The Fight Against Lynching: Anti-Lynching Work of the National Association for the Advancement of Colored People for the Year Nineteen Eighteen,Text,519,51317,https://www.gutenberg.org/ebooks/51317,Anonymous,28,2,2016
778,https://www.gutenberg.org/ebooks/12655.epub3.images,https://www.gutenberg.org/cache/epub/12655/pg12655.cover.medium.jpg,en,Handicraft for boys,The Boy Mechanic: Volume 1: 700 Things for Boys to Do,Text,518,12655,https://www.gutenberg.org/ebooks/12655,Popular Mechanics Company,18,6,2004
779,https://www.gutenberg.org/ebooks/2038.epub3.images,https://www.gutenberg.org/cache/epub/2038/pg2038.cover.medium.jpg,en,"Detective and mystery stories, English;Short stories;Fiction",The Lock and Key Library: Classic Mystery and Detective Stories: Modern English,Text,518,2038,https://www.gutenberg.org/ebooks/2038,Unknown,4,6,2005
780,https://www.gutenberg.org/ebooks/51343.epub3.images,https://www.gutenberg.org/cache/epub/51343/pg51343.cover.medium.jpg,en,,"Motor Matt's Reverse: or, Caught in a Losing Cause",Text,518,51343,https://www.gutenberg.org/ebooks/51343,"Matthews, Stanley R.",2,3,2016
781,https://www.gutenberg.org/ebooks/36034.epub3.images,https://www.gutenberg.org/cache/epub/36034/pg36034.cover.medium.jpg,en,"Russian fiction -- Translations into English;Dostoyevsky, Fyodor, 1821-1881 -- Translations into English","White Nights and Other Stories: The Novels of Fyodor Dostoevsky, Volume X",Text,517,36034,https://www.gutenberg.org/ebooks/36034,"Dostoyevsky, Fyodor",5,5,2011
782,https://www.gutenberg.org/ebooks/5219.epub3.images,https://www.gutenberg.org/cache/epub/5219/pg5219.cover.medium.jpg,en,"Rome -- Fiction;Satire, Latin -- Translations into English",The Satyricon — Volume 02: Dinner of Trimalchio,Text,517,5219,https://www.gutenberg.org/ebooks/5219,Petronius Arbiter,22,5,2004
783,https://www.gutenberg.org/ebooks/51433.epub3.images,https://www.gutenberg.org/cache/epub/51433/pg51433.cover.medium.jpg,en,,Hunt the Hunter,Text,515,51433,https://www.gutenberg.org/ebooks/51433,"Neville, Kris",13,3,2016
784,https://www.gutenberg.org/ebooks/31100.epub3.images,https://www.gutenberg.org/cache/epub/31100/pg31100.cover.medium.jpg,en,"England -- Social life and customs -- Fiction;Love stories, English",The Complete Project Gutenberg Works of Jane Austen: A Linked Index of all PG Editions of Jane Austen,Text,514,31100,https://www.gutenberg.org/ebooks/31100,"Austen, Jane",25,1,2010
